algorithm,text,substring,execution_time
KMP,Article 1,Existing,0.013544108999667515
Boyer-Moore,Article 1,Existing,0.002055308000308287
Rabin-Karp,Article 1,Existing,0.011939833999349503
KMP,Article 1,Non-existing,0.025628702999711095
Boyer-Moore,Article 1,Non-existing,0.0023894160003692377
Rabin-Karp,Article 1,Non-existing,0.02007664200027648
KMP,Article 2,Existing,0.019628422999630857
Boyer-Moore,Article 2,Existing,0.002166639999813924
Rabin-Karp,Article 2,Existing,0.017199775999870326
KMP,Article 2,Non-existing,0.03453971899944008
Boyer-Moore,Article 2,Non-existing,0.0022163379999255994
Rabin-Karp,Article 2,Non-existing,0.016242771999714023
